team,metro_pop,team_age
Atlanta Hawks,6144050,1996
Boston Celtics,4941632,1946
Brooklyn Nets,19768458,2012
Charlotte Hornets,2701392,1988
Chicago Bulls,9557909,1966
Cleveland Cavaliers,3621370,1970
Dallas Mavericks,7637387,1980
Denver Nuggets,2967239,1967
Detroit Pistons,4392041,1941
Golden State Warriors,4749008,1946
Houston Rockets,7340000,1967
Indiana Pacers,2111040,1967
LA Clippers,13200998,1970
Los Angeles Lakers,13200998,1947
Memphis Grizzlies,1346045,1995
Miami Heat,6183199,1988
Milwaukee Bucks,1576236,1968
Minnesota Timberwolves,3629190,1989
New Orleans Pelicans,1282090,2002
New York Knicks,19768458,1946
Oklahoma City Thunder,1441100,1967
Orlando Magic,2673376,1989
Philadelphia 76ers,6245051,1946
Phoenix Suns,4948203,1968
Portland Trail Blazers,2492412,1970
Sacramento Kings,2383905,1945
San Antonio Spurs,2601788,1967
Toronto Raptors,6196731,1995
Utah Jazz,1258348,1974
Washington Wizards,6358651,1961
