team,avg_attendance,arena_capacity,pct_capacity
Atlanta Hawks,17421,20000,87.1
Boston Celtics,19156,19156,100.0
Brooklyn Nets,17562,19000,92.4
Charlotte Hornets,15901,20491,77.6
Chicago Bulls,18014,20917,86.1
Cleveland Cavaliers,18177,19432,93.5
Dallas Mavericks,19354,19200,100.8
Denver Nuggets,18882,19520,96.7
Detroit Pistons,13984,20491,68.2
Golden State Warriors,18064,18064,100.0
Houston Rockets,15123,18055,83.8
Indiana Pacers,15741,17923,87.8
LA Clippers,18411,19068,96.5
Los Angeles Lakers,18997,20000,95.0
Memphis Grizzlies,17234,17794,96.9
Miami Heat,19600,19600,100.0
Milwaukee Bucks,17341,17341,100.0
Minnesota Timberwolves,17364,19356,89.7
New Orleans Pelicans,15622,17791,87.8
New York Knicks,19812,19812,100.0
Oklahoma City Thunder,17829,18203,97.9
Orlando Magic,14811,18846,78.6
Philadelphia 76ers,18801,20478,91.8
Phoenix Suns,17071,17071,100.0
Portland Trail Blazers,18011,19393,92.9
Sacramento Kings,16811,17608,95.5
San Antonio Spurs,16234,18418,88.1
Toronto Raptors,18732,19800,94.6
Utah Jazz,17145,18306,93.7
Washington Wizards,15234,20356,74.8
