team,win_pct,playoff_appearances,net_rating,srs
Atlanta Hawks,0.488,3,0.2,-0.3
Boston Celtics,0.659,5,5.8,5.8
Brooklyn Nets,0.512,4,1.4,1.2
Charlotte Hornets,0.402,1,-3.8,-4.0
Chicago Bulls,0.451,2,-1.2,-1.4
Cleveland Cavaliers,0.537,3,2.1,2.0
Dallas Mavericks,0.573,4,3.2,3.1
Denver Nuggets,0.634,5,5.1,5.2
Detroit Pistons,0.293,0,-7.4,-7.6
Golden State Warriors,0.61,4,3.9,4.0
Houston Rockets,0.354,1,-4.8,-5.0
Indiana Pacers,0.476,2,-0.5,-0.6
LA Clippers,0.573,4,2.8,2.9
Los Angeles Lakers,0.537,3,1.5,1.6
Memphis Grizzlies,0.524,3,1.8,1.7
Miami Heat,0.573,5,3.1,3.0
Milwaukee Bucks,0.622,5,4.8,4.7
Minnesota Timberwolves,0.512,3,2.0,1.9
New Orleans Pelicans,0.476,2,-0.3,-0.4
New York Knicks,0.512,3,1.1,1.0
Oklahoma City Thunder,0.537,2,2.5,2.4
Orlando Magic,0.39,1,-4.2,-4.3
Philadelphia 76ers,0.573,4,3.4,3.3
Phoenix Suns,0.573,4,3.0,2.9
Portland Trail Blazers,0.39,1,-3.5,-3.6
Sacramento Kings,0.5,2,0.8,0.7
San Antonio Spurs,0.329,0,-6.1,-6.2
Toronto Raptors,0.463,2,-0.9,-1.0
Utah Jazz,0.451,2,-0.7,-0.8
Washington Wizards,0.378,1,-4.5,-4.6
