team,instagram_followers_m,twitter_followers_m,total_followers,avg_engagement_rate
Atlanta Hawks,4.2,2.1,6.3,3.8
Boston Celtics,9.8,5.6,15.4,5.2
Brooklyn Nets,7.1,4.2,11.3,4.6
Charlotte Hornets,3.4,2.0,5.4,3.2
Chicago Bulls,6.8,4.1,10.9,4.8
Cleveland Cavaliers,4.1,2.3,6.4,3.5
Dallas Mavericks,9.4,4.8,14.2,5.0
Denver Nuggets,5.8,3.2,9.0,4.1
Detroit Pistons,2.9,1.8,4.7,2.9
Golden State Warriors,18.2,9.4,27.6,6.8
Houston Rockets,5.1,3.2,8.3,3.7
Indiana Pacers,3.2,2.1,5.3,3.1
LA Clippers,6.4,3.8,10.2,4.2
Los Angeles Lakers,27.3,14.1,41.4,7.2
Memphis Grizzlies,4.8,2.9,7.7,4.0
Miami Heat,9.6,5.1,14.7,5.3
Milwaukee Bucks,5.2,3.0,8.2,4.4
Minnesota Timberwolves,4.0,2.4,6.4,3.8
New Orleans Pelicans,3.6,2.2,5.8,3.3
New York Knicks,11.4,6.2,17.6,5.8
Oklahoma City Thunder,4.9,2.8,7.7,3.9
Orlando Magic,3.1,2.0,5.1,3.0
Philadelphia 76ers,8.2,4.6,12.8,4.9
Phoenix Suns,6.3,3.7,10.0,4.5
Portland Trail Blazers,5.0,2.9,7.9,3.8
Sacramento Kings,4.4,2.6,7.0,3.9
San Antonio Spurs,5.8,3.4,9.2,4.0
Toronto Raptors,7.2,4.0,11.2,4.6
Utah Jazz,4.6,2.7,7.3,3.7
Washington Wizards,3.8,2.3,6.1,3.2
